collection_name,set_name,detector_name,image_i,image_j,num_kpts_i,num_kpts_j,keypoint_threshold,dist_threshold,max_num_matches,num_matches,repeatability,accuracy
webcam,chamonix,lift,20130502_071500_10000.csv,20130508_182000_10000.csv,1555,1451,1000,3,1000,271,0.271,0.45922714471817017
webcam,chamonix,lift,20130502_071500_10000.csv,20130508_182000_10000.csv,1555,1451,5000,3,1451,449,0.3094417643004824,0.4617668390274048
webcam,chamonix,lift,20130502_071500_10000.csv,20130508_182000_10000.csv,1555,1451,10000,3,1451,449,0.3094417643004824,0.4617668390274048
webcam,chamonix,lift,20130502_071500_10000.csv,20130518_055000_10000.csv,1555,1330,1000,3,1000,266,0.266,0.503456175327301
webcam,chamonix,lift,20130502_071500_10000.csv,20130518_055000_10000.csv,1555,1330,5000,3,1330,424,0.318796992481203,0.4860180616378784
webcam,chamonix,lift,20130502_071500_10000.csv,20130518_055000_10000.csv,1555,1330,10000,3,1330,424,0.318796992481203,0.4860180616378784
webcam,chamonix,lift,20130502_071500_10000.csv,20130519_142000_10000.csv,1555,1526,1000,3,1000,304,0.304,0.4890460968017578
webcam,chamonix,lift,20130502_071500_10000.csv,20130519_142000_10000.csv,1555,1526,5000,3,1526,508,0.3328964613368283,0.48908835649490356
webcam,chamonix,lift,20130502_071500_10000.csv,20130519_142000_10000.csv,1555,1526,10000,3,1526,508,0.3328964613368283,0.48908835649490356
webcam,chamonix,lift,20130502_071500_10000.csv,20130524_121500_10000.csv,1555,1347,1000,3,1000,260,0.26,0.4815608263015747
webcam,chamonix,lift,20130502_071500_10000.csv,20130524_121500_10000.csv,1555,1347,5000,3,1347,438,0.32516703786191536,0.4818943738937378
webcam,chamonix,lift,20130502_071500_10000.csv,20130524_121500_10000.csv,1555,1347,10000,3,1347,438,0.32516703786191536,0.4818943738937378
webcam,chamonix,lift,20130502_071500_10000.csv,20130528_044600_10000.csv,1555,1381,1000,3,1000,273,0.273,0.5145420730113983
webcam,chamonix,lift,20130502_071500_10000.csv,20130528_044600_10000.csv,1555,1381,5000,3,1381,457,0.33091962346125997,0.493364155292511
webcam,chamonix,lift,20130502_071500_10000.csv,20130528_044600_10000.csv,1555,1381,10000,3,1381,457,0.33091962346125997,0.493364155292511
webcam,chamonix,lift,20130502_071500_10000.csv,20130529_134500_10000.csv,1555,1285,1000,3,1000,222,0.222,0.4751451015472412
webcam,chamonix,lift,20130502_071500_10000.csv,20130529_134500_10000.csv,1555,1285,5000,3,1285,379,0.29494163424124514,0.4721243977546692
webcam,chamonix,lift,20130502_071500_10000.csv,20130529_134500_10000.csv,1555,1285,10000,3,1285,379,0.29494163424124514,0.4721243977546692
webcam,chamonix,lift,20130502_071500_10000.csv,20130602_174600_10000.csv,1555,1461,1000,3,1000,252,0.252,0.4630519151687622
webcam,chamonix,lift,20130502_071500_10000.csv,20130602_174600_10000.csv,1555,1461,5000,3,1461,430,0.2943189596167009,0.4418879747390747
webcam,chamonix,lift,20130502_071500_10000.csv,20130602_174600_10000.csv,1555,1461,10000,3,1461,430,0.2943189596167009,0.4418879747390747
webcam,chamonix,lift,20130502_071500_10000.csv,20130604_185000_10000.csv,1555,1415,1000,3,1000,247,0.247,0.44656819105148315
webcam,chamonix,lift,20130502_071500_10000.csv,20130604_185000_10000.csv,1555,1415,5000,3,1415,437,0.3088339222614841,0.43942463397979736
webcam,chamonix,lift,20130502_071500_10000.csv,20130604_185000_10000.csv,1555,1415,10000,3,1415,437,0.3088339222614841,0.43942463397979736
webcam,chamonix,lift,20130502_071500_10000.csv,20130607_131500_10000.csv,1555,1338,1000,3,1000,214,0.214,0.44228971004486084
webcam,chamonix,lift,20130502_071500_10000.csv,20130607_131500_10000.csv,1555,1338,5000,3,1338,344,0.2571001494768311,0.4351750612258911
webcam,chamonix,lift,20130502_071500_10000.csv,20130607_131500_10000.csv,1555,1338,10000,3,1338,344,0.2571001494768311,0.4351750612258911
webcam,chamonix,lift,20130502_071500_10000.csv,20130608_034500_10000.csv,1555,1452,1000,3,1000,282,0.282,0.46578478813171387
webcam,chamonix,lift,20130502_071500_10000.csv,20130608_034500_10000.csv,1555,1452,5000,3,1452,473,0.32575757575757575,0.46334415674209595
webcam,chamonix,lift,20130502_071500_10000.csv,20130608_034500_10000.csv,1555,1452,10000,3,1452,473,0.32575757575757575,0.46334415674209595
webcam,chamonix,lift,20130502_071500_10000.csv,20130616_094500_10000.csv,1555,1531,1000,3,1000,244,0.244,0.4590829610824585
webcam,chamonix,lift,20130502_071500_10000.csv,20130616_094500_10000.csv,1555,1531,5000,3,1531,437,0.28543435662965383,0.4485931992530823
