collection_name,set_name,detector_name,image_i,image_j,num_kpts_i,num_kpts_j,keypoint_threshold,dist_threshold,max_num_matches,num_matches,repeatability,accuracy
webcam,chamonix,sift,20130502_071500_10000.csv,20130508_182000_10000.csv,3511,3134,1000,3,1000,207,0.207,0.554696261882782
webcam,chamonix,sift,20130502_071500_10000.csv,20130508_182000_10000.csv,3511,3134,5000,3,3134,1083,0.3455647734524569,0.5120060741901398
webcam,chamonix,sift,20130502_071500_10000.csv,20130508_182000_10000.csv,3511,3134,10000,3,3134,1083,0.3455647734524569,0.5120060741901398
webcam,chamonix,sift,20130502_071500_10000.csv,20130518_055000_10000.csv,3511,2329,1000,3,1000,205,0.205,0.6073735654354095
webcam,chamonix,sift,20130502_071500_10000.csv,20130518_055000_10000.csv,3511,2329,5000,3,2329,740,0.317732932589094,0.5670392513275146
webcam,chamonix,sift,20130502_071500_10000.csv,20130518_055000_10000.csv,3511,2329,10000,3,2329,740,0.317732932589094,0.5670392513275146
webcam,chamonix,sift,20130502_071500_10000.csv,20130519_142000_10000.csv,3511,3380,1000,3,1000,275,0.275,0.6352344453334808
webcam,chamonix,sift,20130502_071500_10000.csv,20130519_142000_10000.csv,3511,3380,5000,3,3380,1136,0.336094674556213,0.5813643336296082
webcam,chamonix,sift,20130502_071500_10000.csv,20130519_142000_10000.csv,3511,3380,10000,3,3380,1136,0.336094674556213,0.5813643336296082
webcam,chamonix,sift,20130502_071500_10000.csv,20130524_121500_10000.csv,3511,2669,1000,3,1000,222,0.222,0.6118544936180115
webcam,chamonix,sift,20130502_071500_10000.csv,20130524_121500_10000.csv,3511,2669,5000,3,2669,945,0.35406519295616334,0.5558209419250488
webcam,chamonix,sift,20130502_071500_10000.csv,20130524_121500_10000.csv,3511,2669,10000,3,2669,945,0.35406519295616334,0.5558209419250488
webcam,chamonix,sift,20130502_071500_10000.csv,20130528_044600_10000.csv,3511,2727,1000,3,1000,275,0.275,0.6542879343032837
webcam,chamonix,sift,20130502_071500_10000.csv,20130528_044600_10000.csv,3511,2727,5000,3,2727,994,0.3645031169783645,0.5878050327301025
webcam,chamonix,sift,20130502_071500_10000.csv,20130528_044600_10000.csv,3511,2727,10000,3,2727,994,0.3645031169783645,0.5878050327301025
webcam,chamonix,sift,20130502_071500_10000.csv,20130529_134500_10000.csv,3511,2615,1000,3,1000,178,0.178,0.6010008454322815
webcam,chamonix,sift,20130502_071500_10000.csv,20130529_134500_10000.csv,3511,2615,5000,3,2615,790,0.30210325047801145,0.5376383364200592
webcam,chamonix,sift,20130502_071500_10000.csv,20130529_134500_10000.csv,3511,2615,10000,3,2615,790,0.30210325047801145,0.5376383364200592
webcam,chamonix,sift,20130502_071500_10000.csv,20130602_174600_10000.csv,3511,2245,1000,3,1000,174,0.174,0.5769824385643005
webcam,chamonix,sift,20130502_071500_10000.csv,20130602_174600_10000.csv,3511,2245,5000,3,2245,741,0.33006681514476616,0.5359000265598297
webcam,chamonix,sift,20130502_071500_10000.csv,20130602_174600_10000.csv,3511,2245,10000,3,2245,741,0.33006681514476616,0.5359000265598297
webcam,chamonix,sift,20130502_071500_10000.csv,20130604_185000_10000.csv,3511,2733,1000,3,1000,233,0.233,0.537159264087677
webcam,chamonix,sift,20130502_071500_10000.csv,20130604_185000_10000.csv,3511,2733,5000,3,2733,978,0.3578485181119649,0.5072715878486633
webcam,chamonix,sift,20130502_071500_10000.csv,20130604_185000_10000.csv,3511,2733,10000,3,2733,978,0.3578485181119649,0.5072715878486633
