collection_name,set_name,detector_name,image_i,image_j,num_kpts_i,num_kpts_j,keypoint_threshold,dist_threshold,max_num_matches,num_matches,repeatability,accuracy
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130508_182000_10000.csv,10000,10000,1000,3,1000,346,0.346,0.5149889886379242
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130508_182000_10000.csv,10000,10000,5000,3,5000,2422,0.4844,0.4571092128753662
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130508_182000_10000.csv,10000,10000,10000,3,10000,7137,0.7137,0.43372243642807007
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130518_055000_10000.csv,10000,10000,1000,3,1000,340,0.34,0.5704483091831207
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130518_055000_10000.csv,10000,10000,5000,3,5000,2359,0.4718,0.46188706159591675
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130518_055000_10000.csv,10000,10000,10000,3,10000,7028,0.7028,0.42749863862991333
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130519_142000_10000.csv,10000,10000,1000,3,1000,368,0.368,0.5585444867610931
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130519_142000_10000.csv,10000,10000,5000,3,5000,2514,0.5028,0.46234893798828125
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130519_142000_10000.csv,10000,10000,10000,3,10000,7185,0.7185,0.43709713220596313
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130524_121500_10000.csv,10000,10000,1000,3,1000,353,0.353,0.5333439409732819
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130524_121500_10000.csv,10000,10000,5000,3,5000,2439,0.4878,0.4626803994178772
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130524_121500_10000.csv,10000,10000,10000,3,10000,7068,0.7068,0.43609118461608887
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130528_044600_10000.csv,10000,10000,1000,3,1000,375,0.375,0.5260844826698303
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130528_044600_10000.csv,10000,10000,5000,3,5000,2430,0.486,0.4654088616371155
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130528_044600_10000.csv,10000,10000,10000,3,10000,7045,0.7045,0.43216973543167114
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130529_134500_10000.csv,10000,10000,1000,3,1000,351,0.351,0.5156168639659882
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130529_134500_10000.csv,10000,10000,5000,3,5000,2322,0.4644,0.4478588104248047
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130529_134500_10000.csv,10000,10000,10000,3,10000,6998,0.6998,0.425597608089447
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130602_174600_10000.csv,10000,10000,1000,3,1000,319,0.319,0.5079675316810608
