# height, width, number of rows, number of columns
# 547, 704, 1404, 7
# x, y, size, angle, response, octave, class_id
3.433760986328125000e+02,3.626690673828125000e+02,6.029847621917724609e+00,0.000000000000000000e+00,8.403400421142578125e+00,2.077542400000000000e+07,-1.000000000000000000e+00
3.665633239746093750e+02,3.621126098632812500e+02,5.631289958953857422e+00,0.000000000000000000e+00,7.113845825195312500e+00,1.579468800000000000e+07,-1.000000000000000000e+00
1.404262390136718750e+02,4.308560180664062500e+02,5.056279659271240234e+00,0.000000000000000000e+00,6.022740364074707031e+00,2.470732800000000000e+07,-1.000000000000000000e+00
3.432546691894531250e+02,3.377729187011718750e+02,7.139775753021240234e+00,0.000000000000000000e+00,6.000912189483642578e+00,1.625292900000000000e+07,-1.000000000000000000e+00
3.170410156250000000e+02,3.634666137695312500e+02,8.069226264953613281e+00,0.000000000000000000e+00,5.971760749816894531e+00,8.388865000000000000e+06,-1.000000000000000000e+00
3.222722167968750000e+02,3.623836975097656250e+02,5.238222122192382812e+00,0.000000000000000000e+00,5.910624027252197266e+00,1.055180800000000000e+07,-1.000000000000000000e+00
3.099896545410156250e+02,3.682734069824218750e+02,3.337660551071166992e+00,0.000000000000000000e+00,5.895719051361083984e+00,1.140326400000000000e+07,-1.000000000000000000e+00
3.858993225097656250e+02,3.633574523925781250e+02,3.307347297668457031e+00,0.000000000000000000e+00,5.727065563201904297e+00,1.074790400000000000e+07,-1.000000000000000000e+00
1.353919525146484375e+02,4.478634948730468750e+02,4.532388210296630859e+00,0.000000000000000000e+00,5.720328330993652344e+00,1.684300800000000000e+07,-1.000000000000000000e+00
5.071204528808593750e+02,3.911664123535156250e+02,2.523021221160888672e+00,0.000000000000000000e+00,5.602189540863037109e+00,8.388608000000000000e+06,-1.000000000000000000e+00
3.672450561523437500e+02,4.703242797851562500e+02,2.756338119506835938e+00,0.000000000000000000e+00,5.576630592346191406e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.918913879394531250e+02,3.943187866210937500e+02,2.665660142898559570e+00,0.000000000000000000e+00,5.561159610748291016e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.893121948242187500e+02,3.405498352050781250e+02,6.978929996490478516e+00,0.000000000000000000e+00,5.210186958312988281e+00,1.461452900000000000e+07,-1.000000000000000000e+00
