# height, width, number of rows, number of columns
# 547, 704, 2892, 7
# x, y, size, angle, response, octave, class_id
3.697277832031250000e+02,5.332305297851562500e+02,3.000920295715332031e+00,6.749108886718750000e+01,1.012841239571571350e-01,3.736575000000000000e+06,-1.000000000000000000e+00
3.606977844238281250e+02,3.391466979980468750e+02,2.062709569931030273e+00,9.257058715820312500e+01,9.809773415327072144e-02,1.002751900000000000e+07,-1.000000000000000000e+00
3.606977844238281250e+02,3.391466979980468750e+02,2.062709569931030273e+00,2.676086730957031250e+02,9.809773415327072144e-02,1.002751900000000000e+07,-1.000000000000000000e+00
3.043815002441406250e+02,4.226947631835937500e+02,2.677247762680053711e+00,8.782116699218750000e+01,9.599522501230239868e-02,1.219046300000000000e+07,-1.000000000000000000e+00
3.418204345703125000e+02,3.628414916992187500e+02,8.993517875671386719e+00,6.728826904296875000e+01,9.506691992282867432e-02,1.625318500000000000e+07,-1.000000000000000000e+00
3.418204345703125000e+02,3.628414916992187500e+02,8.993517875671386719e+00,8.844104003906250000e+01,9.506691992282867432e-02,1.625318500000000000e+07,-1.000000000000000000e+00
3.418204345703125000e+02,3.628414916992187500e+02,8.993517875671386719e+00,1.597631683349609375e+02,9.506691992282867432e-02,1.625318500000000000e+07,-1.000000000000000000e+00
3.418204345703125000e+02,3.628414916992187500e+02,8.993517875671386719e+00,2.600202026367187500e+02,9.506691992282867432e-02,1.625318500000000000e+07,-1.000000000000000000e+00
3.324786682128906250e+02,3.694003601074218750e+02,2.559422016143798828e+00,2.617980346679687500e+02,9.449763596057891846e-02,8.913663000000000000e+06,-1.000000000000000000e+00
3.410377197265625000e+02,3.395279235839843750e+02,1.948274016380310059e+00,2.707178955078125000e+02,9.368462115526199341e-02,5.898751000000000000e+06,-1.000000000000000000e+00
3.338805541992187500e+02,3.394419860839843750e+02,2.247277259826660156e+00,2.491184082031250000e+02,8.947966247797012329e-02,1.618790300000000000e+07,-1.000000000000000000e+00
4.875366821289062500e+02,4.646498718261718750e+02,2.545662403106689453e+00,2.572753906250000000e+00,8.814956247806549072e-02,8.520447000000000000e+06,-1.000000000000000000e+00
3.424165649414062500e+02,3.322396240234375000e+02,2.178020238876342773e+00,8.842761230468750000e+01,8.739907294511795044e-02,1.395967900000000000e+07,-1.000000000000000000e+00
3.859207763671875000e+02,3.378351135253906250e+02,2.238779783248901367e+00,2.561345825195312500e+02,8.708821237087249756e-02,1.592575900000000000e+07,-1.000000000000000000e+00
5.490314941406250000e+02,4.729624633789062500e+02,2.691256284713745117e+00,2.224243164062500000e+00,8.361680805683135986e-02,1.251814300000000000e+07,-1.000000000000000000e+00
3.656739807128906250e+02,3.635999450683593750e+02,6.882420539855957031e+00,2.740169372558593750e+02,8.242055028676986694e-02,1.363225600000000000e+07,-1.000000000000000000e+00
2.948088378906250000e+02,3.690812072753906250e+02,3.386911869049072266e+00,1.802320861816406250e+02,8.004623651504516602e-02,1.245286300000000000e+07,-1.000000000000000000e+00
3.846599426269531250e+02,3.610610351562500000e+02,2.971942186355590820e+00,3.568949279785156250e+02,7.790621370077133179e-02,3.015679000000000000e+06,-1.000000000000000000e+00
4.495421142578125000e+02,3.175410461425781250e+02,2.054958343505859375e+00,9.213110351562500000e+01,7.720551639795303345e-02,9.765375000000000000e+06,-1.000000000000000000e+00
4.495421142578125000e+02,3.175410461425781250e+02,2.054958343505859375e+00,2.711992492675781250e+02,7.720551639795303345e-02,9.765375000000000000e+06,-1.000000000000000000e+00
2.787987365722656250e+02,3.656955261230468750e+02,1.915250658988952637e+00,7.687249755859375000e+01,7.652471959590911865e-02,4.653567000000000000e+06,-1.000000000000000000e+00
2.787987365722656250e+02,3.656955261230468750e+02,1.915250658988952637e+00,3.515618286132812500e+02,7.652471959590911865e-02,4.653567000000000000e+06,-1.000000000000000000e+00
4.872471008300781250e+02,4.715039672851562500e+02,2.406381607055664062e+00,3.580601196289062500e+02,7.645279914140701294e-02,4.457215000000000000e+06,-1.000000000000000000e+00
3.486456604003906250e+02,3.346056823730468750e+02,1.900044441223144531e+00,9.039913940429687500e+01,7.639808952808380127e-02,4.063743000000000000e+06,-1.000000000000000000e+00
3.084616394042968750e+02,3.593875427246093750e+02,3.828473806381225586e+00,8.993511962890625000e+01,7.622869312763214111e-02,4.587776000000000000e+06,-1.000000000000000000e+00
3.463126220703125000e+02,3.556960754394531250e+02,1.969960451126098633e+00,9.338394165039062500e+01,7.603783905506134033e-02,6.685183000000000000e+06,-1.000000000000000000e+00
3.222738342285156250e+02,3.686222229003906250e+02,5.321437358856201172e+00,2.718280029296875000e+02,7.537425309419631958e-02,1.173145600000000000e+07,-1.000000000000000000e+00
3.628259582519531250e+02,3.603336486816406250e+02,2.452819585800170898e+00,7.901141357421875000e+01,7.497138530015945435e-02,5.833471000000000000e+06,-1.000000000000000000e+00
3.253033142089843750e+02,3.696255187988281250e+02,2.899235725402832031e+00,1.543674316406250000e+02,7.453632354736328125e-02,1.246207000000000000e+06,-1.000000000000000000e+00
3.253033142089843750e+02,3.696255187988281250e+02,2.899235725402832031e+00,2.593084106445312500e+02,7.453632354736328125e-02,1.246207000000000000e+06,-1.000000000000000000e+00
3.180220336914062500e+02,3.396822814941406250e+02,2.668038606643676758e+00,2.711286621093750000e+02,7.429879903793334961e-02,1.192831900000000000e+07,-1.000000000000000000e+00
2.769128417968750000e+02,4.193442382812500000e+02,2.469485282897949219e+00,8.030499267578125000e+01,7.418158650398254395e-02,6.292223000000000000e+06,-1.000000000000000000e+00
2.769128417968750000e+02,4.193442382812500000e+02,2.469485282897949219e+00,2.705960083007812500e+02,7.418158650398254395e-02,6.292223000000000000e+06,-1.000000000000000000e+00
3.040294799804687500e+02,3.601574707031250000e+02,2.028596878051757812e+00,2.719641113281250000e+01,7.359626144170761108e-02,8.782335000000000000e+06,-1.000000000000000000e+00
3.231290893554687500e+02,3.571651611328125000e+02,2.920091390609741211e+00,8.714230346679687500e+01,7.331185787916183472e-02,1.704959000000000000e+06,-1.000000000000000000e+00
3.157259826660156250e+02,3.686973571777343750e+02,2.216831922531127930e+00,3.569507141113281250e+02,7.284691184759140015e-02,1.520486300000000000e+07,-1.000000000000000000e+00
3.381088867187500000e+02,3.342302551269531250e+02,3.824690580368041992e+00,8.379055786132812500e+01,7.245064526796340942e-02,4.522240000000000000e+06,-1.000000000000000000e+00
3.745938110351562500e+02,3.383046569824218750e+02,1.909337639808654785e+00,2.742681274414062500e+02,7.212217152118682861e-02,4.456959000000000000e+06,-1.000000000000000000e+00
5.486105957031250000e+02,4.795117187500000000e+02,2.530771017074584961e+00,3.572237243652343750e+02,7.157436013221740723e-02,8.127231000000000000e+06,-1.000000000000000000e+00
2.837815551757812500e+02,3.618888854980468750e+02,5.008608818054199219e+00,7.366253662109375000e+01,7.105552405118942261e-02,7.340544000000000000e+06,-1.000000000000000000e+00
3.155413513183593750e+02,3.637042846679687500e+02,1.225496196746826172e+01,8.354791259765625000e+01,7.084169983863830566e-02,5.178113000000000000e+06,-1.000000000000000000e+00
3.155413513183593750e+02,3.637042846679687500e+02,1.225496196746826172e+01,2.722709350585937500e+02,7.084169983863830566e-02,5.178113000000000000e+06,-1.000000000000000000e+00
4.565735473632812500e+02,4.087054138183593750e+02,2.367025613784790039e+00,1.857480010986328125e+02,6.937287747859954834e-02,3.277567000000000000e+06,-1.000000000000000000e+00
4.565735473632812500e+02,4.087054138183593750e+02,2.367025613784790039e+00,3.531317138671875000e+02,6.937287747859954834e-02,3.277567000000000000e+06,-1.000000000000000000e+00
2.767030334472656250e+02,3.715435485839843750e+02,1.811587333679199219e+00,2.799011840820312500e+02,6.928420066833496094e-02,6.558710000000000000e+05,-1.000000000000000000e+00
3.962419738769531250e+02,3.677397766113281250e+02,4.546729564666748047e+00,3.011132812500000000e+02,6.895013153553009033e-02,3.281920000000000000e+05,-1.000000000000000000e+00
3.381496887207031250e+02,3.574426879882812500e+02,2.639132499694824219e+00,8.033804321289062500e+01,6.863895803689956665e-02,1.114188700000000000e+07,-1.000000000000000000e+00
3.528753662109375000e+02,3.349061889648437500e+02,2.207112789154052734e+00,1.023173522949218750e+02,6.792615354061126709e-02,1.494271900000000000e+07,-1.000000000000000000e+00
2.891814270019531250e+02,3.586136474609375000e+02,2.059216260910034180e+00,9.302517700195312500e+01,6.766330450773239136e-02,9.896447000000000000e+06,-1.000000000000000000e+00
2.958634338378906250e+02,3.614679870605468750e+02,3.064996242523193359e+00,1.846683044433593750e+02,6.727622449398040771e-02,5.243903000000000000e+06,-1.000000000000000000e+00
3.897068176269531250e+02,3.636993408203125000e+02,1.859270095825195312e+00,1.015861816406250000e+02,6.670485436916351318e-02,2.490879000000000000e+06,-1.000000000000000000e+00
