# height, width, number of rows, number of columns
# 471, 640, 1042, 7
# x, y, size, angle, response, octave, class_id
1.328301696777343750e+02,1.103347549438476562e+02,5.757750511169433594e+00,0.000000000000000000e+00,1.407218360900878906e+01,1.743308800000000000e+07,-1.000000000000000000e+00
1.558291015625000000e+02,1.324155273437500000e+02,1.014911937713623047e+01,0.000000000000000000e+00,1.340655517578125000e+01,2.496947300000000000e+07,-1.000000000000000000e+00
2.625619506835937500e+02,2.340618896484375000e+02,1.927235221862792969e+01,0.000000000000000000e+00,1.242251491546630859e+01,2.123392200000000000e+07,-1.000000000000000000e+00
8.040303039550781250e+01,1.166562957763671875e+02,3.875383377075195312e+00,0.000000000000000000e+00,1.162702083587646484e+01,2.221670400000000000e+07,-1.000000000000000000e+00
2.236563110351562500e+02,1.993132324218750000e+02,4.022268295288085938e+00,0.000000000000000000e+00,1.138585090637207031e+01,2.490368000000000000e+07,-1.000000000000000000e+00
7.594773864746093750e+01,1.250407791137695312e+02,2.947637796401977539e+00,0.000000000000000000e+00,1.137590980529785156e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.642274475097656250e+02,1.057218551635742188e+02,2.504936981201171875e+01,0.000000000000000000e+00,1.112832069396972656e+01,2.352793800000000000e+07,-1.000000000000000000e+00
3.663670043945312500e+02,2.607239379882812500e+02,7.042306900024414062e+00,0.000000000000000000e+00,1.080923557281494141e+01,1.526988900000000000e+07,-1.000000000000000000e+00
6.526782989501953125e+01,1.243086318969726562e+02,3.429673433303833008e+00,0.000000000000000000e+00,1.023936462402343750e+01,1.336934400000000000e+07,-1.000000000000000000e+00
2.307944641113281250e+02,1.620062866210937500e+02,6.893226146697998047e+00,0.000000000000000000e+00,9.768059730529785156e+00,1.369702500000000000e+07,-1.000000000000000000e+00
2.302369689941406250e+02,1.468836975097656250e+02,8.720580101013183594e+00,0.000000000000000000e+00,9.059894561767578125e+00,1.402496100000000000e+07,-1.000000000000000000e+00
2.245632019042968750e+02,1.881047973632812500e+02,3.908944845199584961e+00,0.000000000000000000e+00,9.006647109985351562e+00,2.280652800000000000e+07,-1.000000000000000000e+00
2.280322418212890625e+02,1.959193725585937500e+02,9.056909561157226562e+00,0.000000000000000000e+00,8.651823043823242188e+00,1.677747300000000000e+07,-1.000000000000000000e+00
3.523343505859375000e+02,2.144754943847656250e+02,2.642772197723388672e+00,0.000000000000000000e+00,8.248890876770019531e+00,8.388608000000000000e+06,-1.000000000000000000e+00
5.263591384887695312e+01,9.908978271484375000e+01,5.826045036315917969e+00,0.000000000000000000e+00,7.469111442565917969e+00,1.828505600000000000e+07,-1.000000000000000000e+00
2.039525146484375000e+02,3.667198944091796875e+01,9.465456008911132812e+00,0.000000000000000000e+00,7.291298389434814453e+00,1.992320100000000000e+07,-1.000000000000000000e+00
2.672868347167968750e+02,3.029060363769531250e+02,1.842140197753906250e+01,0.000000000000000000e+00,7.213961601257324219e+00,1.795712200000000000e+07,-1.000000000000000000e+00
1.403907775878906250e+02,9.915443420410156250e+01,2.713628530502319336e+00,0.000000000000000000e+00,6.828067779541015625e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.387551879882812500e+02,1.374542388916015625e+02,3.800805091857910156e+00,0.000000000000000000e+00,6.786516189575195312e+00,2.077491200000000000e+07,-1.000000000000000000e+00
1.923962554931640625e+02,5.519420623779296875e+01,1.437208652496337891e+01,0.000000000000000000e+00,6.705745697021484375e+00,1.671168200000000000e+07,-1.000000000000000000e+00
8.608916473388671875e+01,1.017518081665039062e+02,1.380240917205810547e+01,0.000000000000000000e+00,6.593492507934570312e+00,1.382809800000000000e+07,-1.000000000000000000e+00
1.495550079345703125e+02,1.046595993041992188e+02,4.034852504730224609e+00,0.000000000000000000e+00,6.480919837951660156e+00,8.388864000000000000e+06,-1.000000000000000000e+00
2.478330688476562500e+02,3.072558593750000000e+02,2.668553352355957031e+00,0.000000000000000000e+00,6.309137344360351562e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.314052276611328125e+02,3.027267265319824219e+01,8.698463439941406250e+00,0.000000000000000000e+00,6.151597499847412109e+00,1.382835300000000000e+07,-1.000000000000000000e+00
4.356148986816406250e+02,2.994041137695312500e+02,2.453513860702514648e+00,0.000000000000000000e+00,6.005955219268798828e+00,8.388608000000000000e+06,-1.000000000000000000e+00
7.357143402099609375e+01,1.182307052612304688e+02,9.408428192138671875e+00,0.000000000000000000e+00,5.862290859222412109e+00,1.952998500000000000e+07,-1.000000000000000000e+00
2.485908203125000000e+02,2.562837524414062500e+02,2.605937480926513672e+00,0.000000000000000000e+00,5.846373558044433594e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.511023559570312500e+02,2.685983886718750000e+02,4.209825038909912109e+00,0.000000000000000000e+00,5.724817276000976562e+00,1.146905600000000000e+07,-1.000000000000000000e+00
6.755408477783203125e+01,9.158983612060546875e+01,2.712108850479125977e+00,0.000000000000000000e+00,5.718796730041503906e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.886931457519531250e+02,3.088468017578125000e+02,2.923755168914794922e+00,0.000000000000000000e+00,5.658154964447021484e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.447285766601562500e+02,2.525099487304687500e+02,3.405015468597412109e+00,0.000000000000000000e+00,5.420240402221679688e+00,1.284505600000000000e+07,-1.000000000000000000e+00
1.100115051269531250e+02,3.006840515136718750e+02,3.356176853179931641e+00,0.000000000000000000e+00,5.362208366394042969e+00,1.179648000000000000e+07,-1.000000000000000000e+00
5.249315795898437500e+02,1.530874633789062500e+02,3.532423734664916992e+00,0.000000000000000000e+00,5.275060176849365234e+00,1.553203200000000000e+07,-1.000000000000000000e+00
3.360736389160156250e+02,2.526116027832031250e+02,4.044119358062744141e+00,0.000000000000000000e+00,5.172603130340576172e+00,8.585472000000000000e+06,-1.000000000000000000e+00
4.437356567382812500e+02,2.991179199218750000e+02,2.579732656478881836e+00,0.000000000000000000e+00,5.156455039978027344e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.565669250488281250e+02,2.500118560791015625e+02,3.454678058624267578e+00,0.000000000000000000e+00,5.146639823913574219e+00,1.389363200000000000e+07,-1.000000000000000000e+00
4.677572021484375000e+02,2.476127166748046875e+02,3.192531585693359375e+00,0.000000000000000000e+00,4.991199493408203125e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.630020751953125000e+02,2.982343750000000000e+02,2.728499412536621094e+00,0.000000000000000000e+00,4.884781837463378906e+00,8.388608000000000000e+06,-1.000000000000000000e+00
3.434148254394531250e+02,2.431710510253906250e+02,3.061712741851806641e+00,0.000000000000000000e+00,4.768207550048828125e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.007154541015625000e+02,2.784593505859375000e+02,3.618803977966308594e+00,0.000000000000000000e+00,4.750126361846923828e+00,1.723596800000000000e+07,-1.000000000000000000e+00
3.333094482421875000e+02,2.755332946777343750e+02,6.445965766906738281e+00,0.000000000000000000e+00,4.634304523468017578e+00,8.847361000000000000e+06,-1.000000000000000000e+00
4.892456970214843750e+02,1.938924407958984375e+02,4.522816658020019531e+00,0.000000000000000000e+00,4.594390869140625000e+00,1.664640000000000000e+07,-1.000000000000000000e+00
4.362201232910156250e+02,2.868088989257812500e+02,1.048908424377441406e+01,0.000000000000000000e+00,4.446334838867187500e+00,1.068288100000000000e+07,-1.000000000000000000e+00
5.058336791992187500e+02,2.765404663085937500e+02,1.436609554290771484e+01,0.000000000000000000e+00,4.425682067871093750e+00,1.671168200000000000e+07,-1.000000000000000000e+00
3.374367980957031250e+02,2.765555725097656250e+02,3.132620573043823242e+00,0.000000000000000000e+00,4.302440643310546875e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.049846496582031250e+02,3.199264221191406250e+02,4.293752670288085938e+00,0.000000000000000000e+00,4.298182487487792969e+00,1.291084800000000000e+07,-1.000000000000000000e+00
4.072081909179687500e+02,3.198688964843750000e+02,6.907304763793945312e+00,0.000000000000000000e+00,4.297671318054199219e+00,1.389363300000000000e+07,-1.000000000000000000e+00
5.447519302368164062e+01,1.267133941650390625e+02,2.636246919631958008e+00,0.000000000000000000e+00,4.285659790039062500e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.327107543945312500e+02,2.544060668945312500e+02,3.722461462020874023e+00,0.000000000000000000e+00,4.271265506744384766e+00,1.926758400000000000e+07,-1.000000000000000000e+00
4.518331298828125000e+02,2.644960327148437500e+02,2.914907217025756836e+00,0.000000000000000000e+00,4.218584060668945312e+00,8.388608000000000000e+06,-1.000000000000000000e+00
