# height, width, number of rows, number of columns
# 471, 640, 1813, 7
# x, y, size, angle, response, octave, class_id
1.481578826904296875e+02,4.618182373046875000e+02,1.879121184349060059e+00,1.092213287353515625e+02,1.525740474462509155e-01,3.277311000000000000e+06,-1.000000000000000000e+00
4.456152343750000000e+02,4.541922302246093750e+02,1.884230256080627441e+00,3.435821533203125000e+01,1.407586932182312012e-01,3.473919000000000000e+06,-1.000000000000000000e+00
4.456152343750000000e+02,4.541922302246093750e+02,1.884230256080627441e+00,6.261877441406250000e+01,1.407586932182312012e-01,3.473919000000000000e+06,-1.000000000000000000e+00
4.456152343750000000e+02,4.541922302246093750e+02,1.884230256080627441e+00,9.780215454101562500e+01,1.407586932182312012e-01,3.473919000000000000e+06,-1.000000000000000000e+00
4.456152343750000000e+02,4.541922302246093750e+02,1.884230256080627441e+00,2.964650878906250000e+02,1.407586932182312012e-01,3.473919000000000000e+06,-1.000000000000000000e+00
9.483189392089843750e+01,4.504112854003906250e+02,2.001648426055908203e+00,9.756958007812500000e+00,1.243466287851333618e-01,7.864831000000000000e+06,-1.000000000000000000e+00
4.156894226074218750e+02,4.155502319335937500e+02,2.543018102645874023e+00,8.002636718750000000e+01,1.205550730228424072e-01,8.454911000000000000e+06,-1.000000000000000000e+00
3.351086425781250000e+02,4.024950866699218750e+02,2.101113080978393555e+00,2.792579040527343750e+02,1.160831823945045471e-01,1.133823900000000000e+07,-1.000000000000000000e+00
3.269807739257812500e+02,4.167219543457031250e+02,2.788048505783081055e+00,1.037919311523437500e+02,1.105630397796630859e-01,1.507404700000000000e+07,-1.000000000000000000e+00
3.269807739257812500e+02,4.167219543457031250e+02,2.788048505783081055e+00,2.709847106933593750e+02,1.105630397796630859e-01,1.507404700000000000e+07,-1.000000000000000000e+00
1.575055122375488281e+01,3.804742736816406250e+02,1.844737648963928223e+00,6.090121459960937500e+01,1.033792048692703247e-01,1.966591000000000000e+06,-1.000000000000000000e+00
2.178773193359375000e+02,4.089242248535156250e+02,2.230701923370361328e+00,1.866321105957031250e+02,9.934005141258239746e-02,1.566361500000000000e+07,-1.000000000000000000e+00
3.274281311035156250e+02,4.304123840332031250e+02,2.035395622253417969e+00,1.851192932128906250e+02,9.807218611240386963e-02,9.044479000000000000e+06,-1.000000000000000000e+00
3.274281311035156250e+02,4.304123840332031250e+02,2.035395622253417969e+00,2.614082641601562500e+02,9.807218611240386963e-02,9.044479000000000000e+06,-1.000000000000000000e+00
3.262957763671875000e+02,4.294982910156250000e+02,3.450722455978393555e+00,2.596760559082031250e+02,9.789840131998062134e-02,1.382911900000000000e+07,-1.000000000000000000e+00
3.333563842773437500e+02,4.051022338867187500e+02,1.906054139137268066e+00,2.797546386718750000e+02,9.670895338058471680e-02,4.325887000000000000e+06,-1.000000000000000000e+00
4.230199584960937500e+02,4.160052490234375000e+02,3.779270172119140625e+00,8.973529052734375000e+01,9.586241841316223145e-02,3.670272000000000000e+06,-1.000000000000000000e+00
1.007861175537109375e+02,4.509518737792968750e+02,5.365050792694091797e+00,7.583682250976562500e+01,9.327335655689239502e-02,1.232128000000000000e+07,-1.000000000000000000e+00
1.007861175537109375e+02,4.509518737792968750e+02,5.365050792694091797e+00,2.661749877929687500e+02,9.327335655689239502e-02,1.232128000000000000e+07,-1.000000000000000000e+00
1.594778137207031250e+02,1.419618530273437500e+02,2.547450304031372070e+00,2.005203704833984375e+02,9.315926581621170044e-02,8.585983000000000000e+06,-1.000000000000000000e+00
3.672028198242187500e+02,4.596737365722656250e+02,2.001491785049438477e+00,3.966964721679687500e+01,9.270862489938735962e-02,7.864831000000000000e+06,-1.000000000000000000e+00
3.672028198242187500e+02,4.596737365722656250e+02,2.001491785049438477e+00,3.169247741699218750e+02,9.270862489938735962e-02,7.864831000000000000e+06,-1.000000000000000000e+00
2.748438110351562500e+02,4.278854675292968750e+02,2.064555406570434570e+00,2.451810607910156250e+02,9.129919111728668213e-02,1.009305500000000000e+07,-1.000000000000000000e+00
2.518397369384765625e+02,3.367608642578125000e+02,2.568004846572875977e+00,1.856651306152343750e+02,9.121885150671005249e-02,9.175807000000000000e+06,-1.000000000000000000e+00
5.118767395019531250e+02,2.649787597656250000e+02,1.362697601318359375e+01,1.637069854736328125e+02,9.103891253471374512e-02,1.291136100000000000e+07,-1.000000000000000000e+00
1.918504028320312500e+02,1.895655517578125000e+02,2.221128225326538086e+00,1.843768615722656250e+02,9.102323651313781738e-02,1.540147100000000000e+07,-1.000000000000000000e+00
8.923726654052734375e+01,4.506542358398437500e+02,5.175058841705322266e+00,2.829671020507812500e+02,9.008360654115676880e-02,9.699840000000000000e+06,-1.000000000000000000e+00
4.151605529785156250e+02,3.169276428222656250e+02,8.606837272644042969e+00,2.673347778320312500e+02,9.001541882753372192e-02,1.304192100000000000e+07,-1.000000000000000000e+00
3.755644531250000000e+02,4.165824584960937500e+02,4.299817562103271484e+00,8.970117187500000000e+01,8.979867398738861084e-02,1.304192000000000000e+07,-1.000000000000000000e+00
3.755644531250000000e+02,4.165824584960937500e+02,4.299817562103271484e+00,2.807829589843750000e+02,8.979867398738861084e-02,1.304192000000000000e+07,-1.000000000000000000e+00
