# height, width, number of rows, number of columns
# 627, 1024, 3928, 7
# x, y, size, angle, response, octave, class_id
9.512172851562500000e+02,4.881796569824218750e+02,2.350453376770019531e+00,9.744616699218750000e+01,1.250411868095397949e-01,2.753279000000000000e+06,-1.000000000000000000e+00
9.512172851562500000e+02,4.881796569824218750e+02,2.350453376770019531e+00,3.597396240234375000e+02,1.250411868095397949e-01,2.753279000000000000e+06,-1.000000000000000000e+00
8.936553344726562500e+02,5.036790771484375000e+02,2.008189916610717773e+00,7.897039794921875000e+01,1.198251321911811829e-01,8.061439000000000000e+06,-1.000000000000000000e+00
5.522321319580078125e+01,5.117688293457031250e+02,1.899954080581665039e+00,1.800834960937500000e+02,1.197623535990715027e-01,4.063743000000000000e+06,-1.000000000000000000e+00
5.522321319580078125e+01,5.117688293457031250e+02,1.899954080581665039e+00,3.583426208496093750e+02,1.197623535990715027e-01,4.063743000000000000e+06,-1.000000000000000000e+00
3.827786254882812500e+01,5.000549316406250000e+02,2.144392967224121094e+00,1.747912597656250000e+01,1.187082752585411072e-01,1.284556700000000000e+07,-1.000000000000000000e+00
3.827786254882812500e+01,5.000549316406250000e+02,2.144392967224121094e+00,1.997599792480468750e+02,1.187082752585411072e-01,1.284556700000000000e+07,-1.000000000000000000e+00
9.998225708007812500e+02,4.894910888671875000e+02,4.582723617553710938e+00,2.082992553710937500e+01,1.175472661852836609e-01,9.180160000000000000e+05,-1.000000000000000000e+00
9.998225708007812500e+02,4.894910888671875000e+02,4.582723617553710938e+00,9.979602050781250000e+01,1.175472661852836609e-01,9.180160000000000000e+05,-1.000000000000000000e+00
3.561707153320312500e+02,5.402937011718750000e+02,2.175266027450561523e+00,1.675787353515625000e+01,1.157460883259773254e-01,1.382860700000000000e+07,-1.000000000000000000e+00
8.571693115234375000e+02,4.936697998046875000e+02,2.079198598861694336e+00,1.189425659179687500e+01,1.113430634140968323e-01,1.061734300000000000e+07,-1.000000000000000000e+00
4.474573669433593750e+02,5.256881713867187500e+02,1.993850111961364746e+00,9.282897949218750000e+01,1.097250282764434814e-01,7.537151000000000000e+06,-1.000000000000000000e+00
4.474573669433593750e+02,5.256881713867187500e+02,1.993850111961364746e+00,2.662393188476562500e+02,1.097250282764434814e-01,7.537151000000000000e+06,-1.000000000000000000e+00
4.509035339355468750e+02,4.989694824218750000e+02,1.798327088356018066e+00,7.618411254882812500e+01,1.088701337575912476e-01,6.604700000000000000e+04,-1.000000000000000000e+00
4.509035339355468750e+02,4.989694824218750000e+02,1.798327088356018066e+00,1.426875610351562500e+02,1.088701337575912476e-01,6.604700000000000000e+04,-1.000000000000000000e+00
2.089127922058105469e+01,5.460848388671875000e+02,2.758583545684814453e+00,5.435974121093750000e+00,1.087003350257873535e-01,1.435315100000000000e+07,-1.000000000000000000e+00
2.089127922058105469e+01,5.460848388671875000e+02,2.758583545684814453e+00,1.678579406738281250e+02,1.087003350257873535e-01,1.435315100000000000e+07,-1.000000000000000000e+00
9.373762207031250000e+02,4.060530395507812500e+02,2.509588003158569336e+00,1.108850708007812500e+02,1.083722710609436035e-01,7.471871000000000000e+06,-1.000000000000000000e+00
7.929411621093750000e+02,4.274992675781250000e+02,2.058362722396850586e+00,3.180355834960937500e+01,1.079371050000190735e-01,9.896447000000000000e+06,-1.000000000000000000e+00
7.929411621093750000e+02,4.274992675781250000e+02,2.058362722396850586e+00,1.781037750244140625e+02,1.079371050000190735e-01,9.896447000000000000e+06,-1.000000000000000000e+00
6.453187255859375000e+02,3.896354064941406250e+02,1.895337939262390137e+00,1.028131103515625000e+01,1.070644631981849670e-01,3.867135000000000000e+06,-1.000000000000000000e+00
3.813474426269531250e+02,5.911614379882812500e+02,2.155460834503173828e+00,1.364274597167968750e+02,1.061444580554962158e-01,1.317324700000000000e+07,-1.000000000000000000e+00
3.813474426269531250e+02,5.911614379882812500e+02,2.155460834503173828e+00,3.234330139160156250e+02,1.061444580554962158e-01,1.317324700000000000e+07,-1.000000000000000000e+00
4.122856140136718750e+01,4.464365539550781250e+02,1.853820681571960449e+00,1.634643554687500000e+00,1.053559854626655579e-01,2.294271000000000000e+06,-1.000000000000000000e+00
3.838977050781250000e+02,5.939602050781250000e+02,2.136454582214355469e+00,1.425686645507812500e+02,1.042022407054901123e-01,1.258342300000000000e+07,-1.000000000000000000e+00
3.838977050781250000e+02,5.939602050781250000e+02,2.136454582214355469e+00,3.133102111816406250e+02,1.042022407054901123e-01,1.258342300000000000e+07,-1.000000000000000000e+00
9.669826049804687500e+02,4.034559020996093750e+02,4.253149986267089844e+00,5.289840698242187500e+01,1.024797409772872925e-01,1.225548800000000000e+07,-1.000000000000000000e+00
9.669826049804687500e+02,4.034559020996093750e+02,4.253149986267089844e+00,2.559014282226562500e+02,1.024797409772872925e-01,1.225548800000000000e+07,-1.000000000000000000e+00
6.665046997070312500e+02,3.688380432128906250e+02,2.195711135864257812e+00,4.032232666015625000e+01,1.022716313600540161e-01,1.454950300000000000e+07,-1.000000000000000000e+00
6.665046997070312500e+02,3.688380432128906250e+02,2.195711135864257812e+00,1.673129119873046875e+02,1.022716313600540161e-01,1.454950300000000000e+07,-1.000000000000000000e+00
9.309002685546875000e+02,4.059896850585937500e+02,2.454372167587280273e+00,5.713439941406250000e+01,1.018869131803512573e-01,5.899007000000000000e+06,-1.000000000000000000e+00
4.159420967102050781e+00,5.175801391601562500e+02,1.947687149047851562e+00,1.499356079101562500e+01,1.010174304246902466e-01,5.898751000000000000e+06,-1.000000000000000000e+00
4.159420967102050781e+00,5.175801391601562500e+02,1.947687149047851562e+00,6.126098632812500000e+01,1.010174304246902466e-01,5.898751000000000000e+06,-1.000000000000000000e+00
4.159420967102050781e+00,5.175801391601562500e+02,1.947687149047851562e+00,2.136002349853515625e+02,1.010174304246902466e-01,5.898751000000000000e+06,-1.000000000000000000e+00
2.381145324707031250e+02,3.935390319824218750e+02,1.880837798118591309e+00,2.750863342285156250e+02,1.003504395484924316e-01,3.342847000000000000e+06,-1.000000000000000000e+00
5.244071197509765625e+01,5.544681396484375000e+02,2.093058347702026367e+00,3.526295776367187500e+02,9.931183606386184692e-02,1.107609500000000000e+07,-1.000000000000000000e+00
7.229630737304687500e+02,4.147035827636718750e+02,2.987772703170776367e+00,2.978143310546875000e+01,9.779617190361022949e-02,3.408895000000000000e+06,-1.000000000000000000e+00
7.229630737304687500e+02,4.147035827636718750e+02,2.987772703170776367e+00,1.767293701171875000e+02,9.779617190361022949e-02,3.408895000000000000e+06,-1.000000000000000000e+00
7.229630737304687500e+02,4.147035827636718750e+02,2.987772703170776367e+00,3.546255187988281250e+02,9.779617190361022949e-02,3.408895000000000000e+06,-1.000000000000000000e+00
9.574627075195312500e+02,3.740433959960937500e+02,2.603757858276367188e+00,2.794479980468750000e+02,9.648519009351730347e-02,1.015884700000000000e+07,-1.000000000000000000e+00
3.348910217285156250e+02,3.176329040527343750e+02,2.112039089202880859e+00,9.634933471679687500e+01,9.622620046138763428e-02,1.173145500000000000e+07,-1.000000000000000000e+00
3.348910217285156250e+02,3.176329040527343750e+02,2.112039089202880859e+00,2.649421691894531250e+02,9.622620046138763428e-02,1.173145500000000000e+07,-1.000000000000000000e+00
9.614179687500000000e+02,4.065412902832031250e+02,2.992358207702636719e+00,4.724645996093750000e+01,9.588864445686340332e-02,3.474431000000000000e+06,-1.000000000000000000e+00
5.596586914062500000e+02,5.685521850585937500e+02,2.089969396591186523e+00,6.470513916015625000e+01,9.583812206983566284e-02,1.094502300000000000e+07,-1.000000000000000000e+00
2.818642883300781250e+02,4.959947509765625000e+02,2.950052738189697266e+00,8.995468139648437500e+01,9.576598554849624634e-02,2.491391000000000000e+06,-1.000000000000000000e+00
2.818642883300781250e+02,4.959947509765625000e+02,2.950052738189697266e+00,2.678826904296875000e+02,9.576598554849624634e-02,2.491391000000000000e+06,-1.000000000000000000e+00
8.964835205078125000e+02,5.379627075195312500e+02,1.882449984550476074e+00,5.096481323242187500e+01,9.568636864423751831e-02,3.408383000000000000e+06,-1.000000000000000000e+00
2.398057708740234375e+02,3.407272338867187500e+02,1.830832362174987793e+00,1.980487670898437500e+02,9.548790752887725830e-02,1.376767000000000000e+06,-1.000000000000000000e+00
7.242175903320312500e+02,4.067265014648437500e+02,2.373383522033691406e+00,9.906701660156250000e+01,9.524282068014144897e-02,3.474175000000000000e+06,-1.000000000000000000e+00
6.780183105468750000e+02,3.964848937988281250e+02,1.948595404624938965e+00,2.505661621093750000e+02,9.414904564619064331e-02,5.898751000000000000e+06,-1.000000000000000000e+00
4.919830322265625000e+01,5.233820190429687500e+02,4.220019817352294922e+00,1.961381683349609375e+02,9.411542117595672607e-02,1.166566400000000000e+07,-1.000000000000000000e+00
4.919830322265625000e+01,5.233820190429687500e+02,4.220019817352294922e+00,3.434827880859375000e+02,9.411542117595672607e-02,1.166566400000000000e+07,-1.000000000000000000e+00
8.898309326171875000e+02,3.746787414550781250e+02,3.255172729492187500e+00,9.724038696289062500e+01,9.373676776885986328e-02,9.569279000000000000e+06,-1.000000000000000000e+00
8.898309326171875000e+02,3.746787414550781250e+02,3.255172729492187500e+00,2.811703796386718750e+02,9.373676776885986328e-02,9.569279000000000000e+06,-1.000000000000000000e+00
9.394471435546875000e+02,3.907310485839843750e+02,2.056787490844726562e+00,8.089413452148437500e+01,9.362151473760604858e-02,9.830911000000000000e+06,-1.000000000000000000e+00
1.879674835205078125e+02,5.018243713378906250e+02,2.754113197326660156e+00,3.923739624023437500e+01,9.330185502767562866e-02,1.422207900000000000e+07,-1.000000000000000000e+00
1.210791091918945312e+02,5.502053833007812500e+02,2.080119371414184570e+00,2.634446716308593750e+02,9.257622808218002319e-02,1.061734300000000000e+07,-1.000000000000000000e+00
7.859929809570312500e+02,5.487440795898437500e+02,2.079199790954589844e+00,5.859048461914062500e+01,9.246396273374557495e-02,1.061734300000000000e+07,-1.000000000000000000e+00
3.734709548950195312e+01,5.242156982421875000e+02,4.219525814056396484e+00,1.912562255859375000e+02,9.241656959056854248e-02,1.166566400000000000e+07,-1.000000000000000000e+00
3.734709548950195312e+01,5.242156982421875000e+02,4.219525814056396484e+00,3.466195983886718750e+02,9.241656959056854248e-02,1.166566400000000000e+07,-1.000000000000000000e+00
1.758723754882812500e+02,3.899807128906250000e+02,1.902370810508728027e+00,2.726967163085937500e+02,9.240655601024627686e-02,4.194815000000000000e+06,-1.000000000000000000e+00
