# height, width, number of rows, number of columns
# 418, 640, 1153, 7
# x, y, size, angle, response, octave, class_id
6.389409637451171875e+01,2.943993530273437500e+02,2.868423938751220703e+00,0.000000000000000000e+00,1.357214355468750000e+01,8.388608000000000000e+06,-1.000000000000000000e+00
2.203411712646484375e+02,2.948764953613281250e+02,2.786651372909545898e+00,0.000000000000000000e+00,1.338453578948974609e+01,8.388608000000000000e+06,-1.000000000000000000e+00
2.365749816894531250e+02,3.822959899902343750e+02,3.520724058151245117e+00,0.000000000000000000e+00,1.320605564117431641e+01,1.526988800000000000e+07,-1.000000000000000000e+00
5.193435287475585938e+01,2.958088378906250000e+02,5.753833293914794922e+00,0.000000000000000000e+00,1.300413990020751953e+01,1.736755200000000000e+07,-1.000000000000000000e+00
1.071983795166015625e+02,2.932238769531250000e+02,1.045238971710205078e+01,0.000000000000000000e+00,1.291215038299560547e+01,1.042073700000000000e+07,-1.000000000000000000e+00
2.095216827392578125e+02,2.935082397460937500e+02,3.562987804412841797e+00,0.000000000000000000e+00,1.286050033569335938e+01,1.612185600000000000e+07,-1.000000000000000000e+00
2.842380065917968750e+02,3.524802551269531250e+02,2.457078695297241211e+00,0.000000000000000000e+00,1.160685443878173828e+01,8.388608000000000000e+06,-1.000000000000000000e+00
4.099437866210937500e+02,3.139792785644531250e+02,2.428454399108886719e+00,0.000000000000000000e+00,1.106833457946777344e+01,8.388608000000000000e+06,-1.000000000000000000e+00
7.249214172363281250e+01,2.873284912109375000e+02,3.545388460159301758e+00,0.000000000000000000e+00,1.093092536926269531e+01,1.579417600000000000e+07,-1.000000000000000000e+00
4.274964904785156250e+02,3.646220092773437500e+02,4.594747066497802734e+00,0.000000000000000000e+00,1.088325405120849609e+01,1.782604800000000000e+07,-1.000000000000000000e+00
4.304873657226562500e+02,3.767635803222656250e+02,2.829057455062866211e+00,0.000000000000000000e+00,1.043930721282958984e+01,8.388608000000000000e+06,-1.000000000000000000e+00
2.094428100585937500e+02,3.109588012695312500e+02,1.352289104461669922e+01,0.000000000000000000e+00,1.038483047485351562e+01,1.232077000000000000e+07,-1.000000000000000000e+00
5.934384765625000000e+02,3.585148010253906250e+02,4.027729511260986328e+00,0.000000000000000000e+00,1.028155231475830078e+01,2.496921600000000000e+07,-1.000000000000000000e+00
2.103681488037109375e+02,2.227852020263671875e+02,2.733055591583251953e+00,0.000000000000000000e+00,9.929126739501953125e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.355047607421875000e+01,1.855941772460937500e+02,5.079796314239501953e+00,0.000000000000000000e+00,9.858749389648437500e+00,8.389120000000000000e+06,-1.000000000000000000e+00
1.887867889404296875e+02,2.165045013427734375e+02,2.471222877502441406e+00,0.000000000000000000e+00,9.856333732604980469e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.739293975830078125e+02,3.037229003906250000e+02,1.044025230407714844e+01,0.000000000000000000e+00,9.714813232421875000e+00,1.035520100000000000e+07,-1.000000000000000000e+00
2.848073120117187500e+02,2.948247375488281250e+02,3.564898729324340820e+00,0.000000000000000000e+00,9.630754470825195312e+00,1.618739200000000000e+07,-1.000000000000000000e+00
1.968251342773437500e+02,3.143631591796875000e+02,5.229465484619140625e+00,0.000000000000000000e+00,9.611476898193359375e+00,1.048627200000000000e+07,-1.000000000000000000e+00
4.019700317382812500e+02,2.259484710693359375e+02,3.227537155151367188e+00,0.000000000000000000e+00,9.486459732055664062e+00,8.978432000000000000e+06,-1.000000000000000000e+00
1.715230255126953125e+02,2.709790039062500000e+02,7.121616840362548828e+00,0.000000000000000000e+00,9.388279914855957031e+00,1.605632100000000000e+07,-1.000000000000000000e+00
4.723906860351562500e+02,2.027090454101562500e+02,2.686711788177490234e+00,0.000000000000000000e+00,9.348224639892578125e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.969987640380859375e+02,3.167763061523437500e+02,3.094228267669677734e+00,0.000000000000000000e+00,9.323568344116210938e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.663048858642578125e+02,2.735200805664062500e+02,2.757504701614379883e+00,0.000000000000000000e+00,9.319536209106445312e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.785617370605468750e+02,3.090440368652343750e+02,5.293282032012939453e+00,0.000000000000000000e+00,9.237599372863769531e+00,1.133824000000000000e+07,-1.000000000000000000e+00
1.058590545654296875e+02,2.794850769042968750e+02,2.339007377624511719e+01,0.000000000000000000e+00,9.180560111999511719e+00,1.854720200000000000e+07,-1.000000000000000000e+00
2.203437194824218750e+02,3.047196655273437500e+02,3.404094934463500977e+00,0.000000000000000000e+00,9.159531593322753906e+00,1.284505600000000000e+07,-1.000000000000000000e+00
5.547879638671875000e+02,2.555422973632812500e+02,2.562063694000244141e+00,0.000000000000000000e+00,9.101997375488281250e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.809763488769531250e+02,2.956126098632812500e+02,3.014630317687988281e+00,0.000000000000000000e+00,9.058647155761718750e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.520757446289062500e+02,2.152236480712890625e+02,3.100308895111083984e+00,0.000000000000000000e+00,8.947388648986816406e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.102885894775390625e+02,2.292133789062500000e+02,2.704141139984130859e+00,0.000000000000000000e+00,8.860353469848632812e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.099765167236328125e+02,3.025023498535156250e+02,3.335860013961791992e+00,0.000000000000000000e+00,8.808949470520019531e+00,1.133772800000000000e+07,-1.000000000000000000e+00
3.270816345214843750e+02,2.133547668457031250e+02,3.312208890914916992e+00,0.000000000000000000e+00,8.787445068359375000e+00,1.087897600000000000e+07,-1.000000000000000000e+00
2.640060424804687500e+02,3.443379821777343750e+02,2.653981208801269531e+00,0.000000000000000000e+00,8.785094261169433594e+00,8.388608000000000000e+06,-1.000000000000000000e+00
3.259928283691406250e+02,3.267417907714843750e+02,8.322153091430664062e+00,0.000000000000000000e+00,8.712920188903808594e+00,1.061708900000000000e+07,-1.000000000000000000e+00
2.101573333740234375e+02,2.166355590820312500e+02,2.701367855072021484e+00,0.000000000000000000e+00,8.664801597595214844e+00,8.388608000000000000e+06,-1.000000000000000000e+00
3.999276123046875000e+02,3.213598937988281250e+02,3.864858627319335938e+00,0.000000000000000000e+00,8.576050758361816406e+00,2.202009600000000000e+07,-1.000000000000000000e+00
4.633149719238281250e+01,2.216795806884765625e+02,2.581523656845092773e+00,0.000000000000000000e+00,8.555988311767578125e+00,8.388608000000000000e+06,-1.000000000000000000e+00
8.472580718994140625e+01,2.845050659179687500e+02,4.024580001831054688e+00,0.000000000000000000e+00,8.518718719482421875e+00,2.496921600000000000e+07,-1.000000000000000000e+00
5.012968063354492188e+01,3.745773925781250000e+02,2.512180328369140625e+00,0.000000000000000000e+00,8.444666862487792969e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.102762451171875000e+02,2.354883117675781250e+02,2.707163572311401367e+00,0.000000000000000000e+00,8.435741424560546875e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.443397216796875000e+02,3.082508239746093750e+02,4.143317222595214844e+00,0.000000000000000000e+00,8.435054779052734375e+00,1.035494400000000000e+07,-1.000000000000000000e+00
2.433610153198242188e+01,1.869712524414062500e+02,3.819453954696655273e+00,0.000000000000000000e+00,8.382572174072265625e+00,2.116812800000000000e+07,-1.000000000000000000e+00
3.589168701171875000e+02,2.870373840332031250e+02,2.970998764038085938e+00,0.000000000000000000e+00,8.371903419494628906e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.360986022949218750e+02,3.335760192871093750e+02,1.360659885406494141e+01,0.000000000000000000e+00,8.287720680236816406e+00,1.277952200000000000e+07,-1.000000000000000000e+00
4.604476623535156250e+02,2.115291137695312500e+02,2.516520261764526367e+00,0.000000000000000000e+00,8.262551307678222656e+00,8.388608000000000000e+06,-1.000000000000000000e+00
6.079671020507812500e+02,2.169455718994140625e+02,6.359586238861083984e+00,0.000000000000000000e+00,8.255759239196777344e+00,2.464204800000000000e+07,-1.000000000000000000e+00
4.439269409179687500e+02,2.248277130126953125e+02,2.517506837844848633e+00,0.000000000000000000e+00,8.252808570861816406e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.084933013916015625e+02,2.583928222656250000e+02,3.031433105468750000e+00,0.000000000000000000e+00,8.234452247619628906e+00,8.388608000000000000e+06,-1.000000000000000000e+00
5.217664794921875000e+02,2.385969085693359375e+02,3.062006473541259766e+00,0.000000000000000000e+00,8.232334136962890625e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.186655578613281250e+02,2.792964172363281250e+02,3.221436023712158203e+00,0.000000000000000000e+00,8.204889297485351562e+00,8.847360000000000000e+06,-1.000000000000000000e+00
2.724478149414062500e+02,2.915102844238281250e+02,2.533090829849243164e+00,0.000000000000000000e+00,8.186859130859375000e+00,8.388608000000000000e+06,-1.000000000000000000e+00
9.124233245849609375e+01,2.895938415527343750e+02,3.008360862731933594e+00,0.000000000000000000e+00,8.176574707031250000e+00,8.388608000000000000e+06,-1.000000000000000000e+00
6.272447967529296875e+01,1.916726226806640625e+02,5.854488849639892578e+00,0.000000000000000000e+00,8.171718597412109375e+00,1.861273600000000000e+07,-1.000000000000000000e+00
2.812822265625000000e+02,3.507517089843750000e+02,6.225561618804931641e+00,0.000000000000000000e+00,8.169242858886718750e+00,2.306918400000000000e+07,-1.000000000000000000e+00
3.757136917114257812e+01,2.289051361083984375e+02,4.332221031188964844e+00,0.000000000000000000e+00,8.061662673950195312e+00,1.356620800000000000e+07,-1.000000000000000000e+00
1.776402435302734375e+02,2.676044006347656250e+02,1.374787521362304688e+01,0.000000000000000000e+00,7.977542877197265625e+00,1.350041800000000000e+07,-1.000000000000000000e+00
1.812890930175781250e+02,2.619377136230468750e+02,2.996767044067382812e+00,0.000000000000000000e+00,7.953056812286376953e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.871812286376953125e+02,2.607938232421875000e+02,4.737236499786376953e+00,0.000000000000000000e+00,7.918141841888427734e+00,1.998873600000000000e+07,-1.000000000000000000e+00
5.442709960937500000e+02,1.851883239746093750e+02,2.477894783020019531e+00,0.000000000000000000e+00,7.886004924774169922e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.013843154907226562e+02,3.045594787597656250e+02,3.490153789520263672e+00,0.000000000000000000e+00,7.837650299072265625e+00,1.461452800000000000e+07,-1.000000000000000000e+00
2.407534027099609375e+02,3.930102539062500000e+02,3.456213951110839844e+00,0.000000000000000000e+00,7.812650680541992188e+00,1.395916800000000000e+07,-1.000000000000000000e+00
3.731857299804687500e+02,3.539806213378906250e+02,5.507787227630615234e+00,0.000000000000000000e+00,7.763881206512451172e+00,1.422182400000000000e+07,-1.000000000000000000e+00
7.978529357910156250e+01,1.769437866210937500e+02,4.004683971405029297e+00,0.000000000000000000e+00,7.738355159759521484e+00,2.457600000000000000e+07,-1.000000000000000000e+00
1.184340667724609375e+02,1.911551818847656250e+02,3.106720924377441406e+00,0.000000000000000000e+00,7.650547981262207031e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.885350494384765625e+02,2.113703918457031250e+02,2.481130599975585938e+00,0.000000000000000000e+00,7.536175727844238281e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.688767700195312500e+02,3.425960998535156250e+02,1.090353679656982422e+01,0.000000000000000000e+00,7.463518619537353516e+00,1.350092900000000000e+07,-1.000000000000000000e+00
4.915255737304687500e+01,2.762978820800781250e+02,4.077229976654052734e+00,0.000000000000000000e+00,7.415731906890869141e+00,9.175296000000000000e+06,-1.000000000000000000e+00
5.625164794921875000e+02,3.884283752441406250e+02,3.419535160064697266e+00,0.000000000000000000e+00,7.401575088500976562e+00,1.317273600000000000e+07,-1.000000000000000000e+00
4.746248474121093750e+02,3.785067443847656250e+02,3.442872524261474609e+00,0.000000000000000000e+00,7.308457851409912109e+00,1.363148800000000000e+07,-1.000000000000000000e+00
1.972169799804687500e+02,3.663991088867187500e+02,7.288944244384765625e+00,0.000000000000000000e+00,7.274606704711914062e+00,1.776025700000000000e+07,-1.000000000000000000e+00
9.689628601074218750e+01,2.544241790771484375e+02,2.847471237182617188e+00,0.000000000000000000e+00,7.271402359008789062e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.380127410888671875e+02,1.817504730224609375e+02,6.961752414703369141e+00,0.000000000000000000e+00,7.158331394195556641e+00,1.441792100000000000e+07,-1.000000000000000000e+00
3.205577697753906250e+02,2.232298736572265625e+02,3.135626792907714844e+00,0.000000000000000000e+00,7.102897644042968750e+00,8.388608000000000000e+06,-1.000000000000000000e+00
5.514712524414062500e+01,1.561108398437500000e+02,3.056086063385009766e+00,0.000000000000000000e+00,7.101267337799072266e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.281353149414062500e+02,3.233264465332031250e+02,4.957937240600585938e+00,0.000000000000000000e+00,7.076121807098388672e+00,2.333107200000000000e+07,-1.000000000000000000e+00
5.841530151367187500e+02,3.596648254394531250e+02,3.028389692306518555e+00,0.000000000000000000e+00,7.050314426422119141e+00,8.388608000000000000e+06,-1.000000000000000000e+00
3.873363647460937500e+02,3.086280212402343750e+02,5.906809806823730469e+00,0.000000000000000000e+00,7.000568389892578125e+00,1.926809600000000000e+07,-1.000000000000000000e+00
4.737546386718750000e+02,3.826105346679687500e+02,4.040547847747802734e+00,0.000000000000000000e+00,6.896490097045898438e+00,8.519936000000000000e+06,-1.000000000000000000e+00
1.891728973388671875e+02,2.308278961181640625e+02,2.462846565246582031e+01,0.000000000000000000e+00,6.878734111785888672e+00,2.228275400000000000e+07,-1.000000000000000000e+00
