# height, width, number of rows, number of columns
# 418, 640, 1751, 7
# x, y, size, angle, response, octave, class_id
2.150968322753906250e+02,2.205762481689453125e+02,2.538150548934936523e+00,1.672821960449218750e+02,1.572395861148834229e-01,8.323839000000000000e+06,-1.000000000000000000e+00
2.146615447998046875e+02,2.267308502197265625e+02,2.655826091766357422e+00,1.846428833007812500e+02,1.543536633253097534e-01,1.160063900000000000e+07,-1.000000000000000000e+00
2.048024139404296875e+02,2.267314300537109375e+02,2.659770727157592773e+00,4.792968750000000000e+00,1.503538489341735840e-01,1.166617500000000000e+07,-1.000000000000000000e+00
1.712396087646484375e+02,2.467816619873046875e+02,2.339677333831787109e+00,2.055020141601562500e+01,1.491882055997848511e-01,2.425599000000000000e+06,-1.000000000000000000e+00
1.712396087646484375e+02,2.467816619873046875e+02,2.339677333831787109e+00,1.610525817871093750e+02,1.491882055997848511e-01,2.425599000000000000e+06,-1.000000000000000000e+00
1.712396087646484375e+02,2.467816619873046875e+02,2.339677333831787109e+00,1.926347503662109375e+02,1.491882055997848511e-01,2.425599000000000000e+06,-1.000000000000000000e+00
2.207325744628906250e+02,2.327493133544921875e+02,2.541015386581420898e+00,1.411630554199218750e+02,1.480893492698669434e-01,8.389375000000000000e+06,-1.000000000000000000e+00
2.207325744628906250e+02,2.327493133544921875e+02,2.541015386581420898e+00,2.202985534667968750e+02,1.480893492698669434e-01,8.389375000000000000e+06,-1.000000000000000000e+00
2.207325744628906250e+02,2.327493133544921875e+02,2.541015386581420898e+00,3.063955688476562500e+02,1.480893492698669434e-01,8.389375000000000000e+06,-1.000000000000000000e+00
1.921919097900390625e+02,2.267285003662109375e+02,2.493713140487670898e+00,1.927125244140625000e+02,1.441175043582916260e-01,7.013119000000000000e+06,-1.000000000000000000e+00
2.049691772460937500e+02,2.392768402099609375e+02,2.570837020874023438e+00,9.241210937500000000e+00,1.434344798326492310e-01,9.241343000000000000e+06,-1.000000000000000000e+00
1.777117614746093750e+02,2.146644134521484375e+02,2.697893619537353516e+00,2.776038208007812500e+02,1.406508833169937134e-01,1.271475100000000000e+07,-1.000000000000000000e+00
1.832881927490234375e+02,2.337426757812500000e+02,2.472567796707153320e+00,7.641876220703125000e+00,1.401667743921279907e-01,6.423295000000000000e+06,-1.000000000000000000e+00
