# height, width, number of rows, number of columns
# 205, 2469, 1851, 7
# x, y, size, angle, response, octave, class_id
1.962369628906250000e+03,1.423035278320312500e+02,3.104209661483764648e+00,0.000000000000000000e+00,1.295402240753173828e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.817721679687500000e+03,1.342461242675781250e+02,2.529601335525512695e+00,0.000000000000000000e+00,1.145761680603027344e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.733648437500000000e+03,1.687043609619140625e+02,3.063468217849731445e+00,0.000000000000000000e+00,1.027441024780273438e+01,8.388608000000000000e+06,-1.000000000000000000e+00
2.414576416015625000e+03,1.530662384033203125e+02,4.672241687774658203e+00,0.000000000000000000e+00,9.474660873413085938e+00,1.900569600000000000e+07,-1.000000000000000000e+00
1.532048583984375000e+03,1.720216827392578125e+02,3.572827100753784180e+00,0.000000000000000000e+00,9.281008720397949219e+00,1.631846400000000000e+07,-1.000000000000000000e+00
1.595498168945312500e+03,1.430243072509765625e+02,1.061840629577636719e+01,0.000000000000000000e+00,8.446342468261718750e+00,1.153484900000000000e+07,-1.000000000000000000e+00
1.557887939453125000e+03,1.585248718261718750e+02,3.278615474700927734e+00,0.000000000000000000e+00,7.656090259552001953e+00,1.009254400000000000e+07,-1.000000000000000000e+00
3.063713684082031250e+02,1.485768585205078125e+02,2.697731971740722656e+00,0.000000000000000000e+00,7.596694946289062500e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.904932617187500000e+03,1.130861968994140625e+02,4.715309143066406250e+00,0.000000000000000000e+00,7.384936332702636719e+00,1.966105600000000000e+07,-1.000000000000000000e+00
1.279380981445312500e+03,1.891193084716796875e+02,2.774378776550292969e+00,0.000000000000000000e+00,7.240859985351562500e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.416702636718750000e+03,1.588108215332031250e+02,2.330464601516723633e+00,0.000000000000000000e+00,7.229438781738281250e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.289177856445312500e+03,1.902826232910156250e+02,2.828089475631713867e+00,0.000000000000000000e+00,7.189057826995849609e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.599009033203125000e+03,1.420538330078125000e+02,4.821573257446289062e+00,0.000000000000000000e+00,7.148911476135253906e+00,2.129945600000000000e+07,-1.000000000000000000e+00
1.693614990234375000e+03,1.539203033447265625e+02,3.165423393249511719e+00,0.000000000000000000e+00,7.072185516357421875e+00,8.388608000000000000e+06,-1.000000000000000000e+00
5.468841171264648438e+01,1.615588226318359375e+02,2.600554704666137695e+00,0.000000000000000000e+00,6.980940818786621094e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.014265136718750000e+03,1.359479217529296875e+02,3.928145408630371094e+00,0.000000000000000000e+00,6.776149749755859375e+00,2.319974400000000000e+07,-1.000000000000000000e+00
1.879618041992187500e+03,1.439701843261718750e+02,4.550544738769531250e+00,0.000000000000000000e+00,6.765615940093994141e+00,1.710515200000000000e+07,-1.000000000000000000e+00
2.985087585449218750e+02,1.474715881347656250e+02,6.037372589111328125e+00,0.000000000000000000e+00,6.753759384155273438e+00,2.084096000000000000e+07,-1.000000000000000000e+00
1.911912597656250000e+03,1.446203460693359375e+02,2.833681344985961914e+00,0.000000000000000000e+00,6.716920852661132812e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.358213378906250000e+03,1.387733612060546875e+02,3.084135293960571289e+00,0.000000000000000000e+00,6.705817222595214844e+00,8.388608000000000000e+06,-1.000000000000000000e+00
1.696161865234375000e+03,1.559093627929687500e+02,4.630554199218750000e+00,0.000000000000000000e+00,6.689148902893066406e+00,1.835033600000000000e+07,-1.000000000000000000e+00
