# height, width, number of rows, number of columns
# 450, 800, 1471, 7
# x, y, size, angle, response, octave, class_id
3.496501159667968750e+02,1.683282623291015625e+02,3.547942876815795898e+00,0.000000000000000000e+00,1.072722721099853516e+01,1.579417600000000000e+07,-1.000000000000000000e+00
4.070461425781250000e+02,3.323023376464843750e+02,3.405523777008056641e+00,0.000000000000000000e+00,1.064865970611572266e+01,1.284505600000000000e+07,-1.000000000000000000e+00
3.370307312011718750e+02,1.681958465576171875e+02,3.783274173736572266e+00,0.000000000000000000e+00,1.006636905670166016e+01,2.044723200000000000e+07,-1.000000000000000000e+00
4.870449218750000000e+02,1.635074768066406250e+02,3.160533905029296875e+00,0.000000000000000000e+00,9.947143554687500000e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.870366516113281250e+02,1.747618865966796875e+02,3.206350088119506836e+00,0.000000000000000000e+00,9.588861465454101562e+00,8.519680000000000000e+06,-1.000000000000000000e+00
4.871044616699218750e+02,1.524852294921875000e+02,3.157133340835571289e+00,0.000000000000000000e+00,9.553850173950195312e+00,8.388608000000000000e+06,-1.000000000000000000e+00
2.617939758300781250e+02,3.043346557617187500e+02,2.359056711196899414e+00,0.000000000000000000e+00,9.544757843017578125e+00,8.388608000000000000e+06,-1.000000000000000000e+00
3.616500854492187500e+02,1.693420410156250000e+02,3.498831748962402344e+00,0.000000000000000000e+00,9.480676651000976562e+00,1.481113600000000000e+07,-1.000000000000000000e+00
2.968488159179687500e+02,3.065953979492187500e+02,6.222255706787109375e+00,0.000000000000000000e+00,9.351202964782714844e+00,2.300364800000000000e+07,-1.000000000000000000e+00
4.872063293457031250e+02,1.414629364013671875e+02,3.149594783782958984e+00,0.000000000000000000e+00,9.241586685180664062e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.869950256347656250e+02,1.858546295166015625e+02,3.206986427307128906e+00,0.000000000000000000e+00,8.960838317871093750e+00,8.519680000000000000e+06,-1.000000000000000000e+00
4.869000854492187500e+02,1.969926147460937500e+02,3.180022239685058594e+00,0.000000000000000000e+00,8.821610450744628906e+00,8.388608000000000000e+06,-1.000000000000000000e+00
4.871615905761718750e+02,1.303052520751953125e+02,3.112079620361328125e+00,0.000000000000000000e+00,8.802804946899414062e+00,8.388608000000000000e+06,-1.000000000000000000e+00
