# height, width, number of rows, number of columns
# 450, 800, 981, 7
# x, y, size, angle, response, octave, class_id
2.655200195312500000e+02,1.820531921386718750e+02,4.724198913574218750e+01,3.578597412109375000e+02,1.053438708186149597e-01,2.556675000000000000e+06,-1.000000000000000000e+00
5.307111358642578125e+01,7.118066787719726562e+00,2.509258985519409180e+00,1.473236236572265625e+02,8.972273021936416626e-02,7.471871000000000000e+06,-1.000000000000000000e+00
5.307111358642578125e+01,7.118066787719726562e+00,2.509258985519409180e+00,3.012936401367187500e+02,8.972273021936416626e-02,7.471871000000000000e+06,-1.000000000000000000e+00
2.426360626220703125e+02,2.744497489929199219e+01,5.787707328796386719e+00,3.458627624511718750e+02,8.571696281433105469e-02,1.114880000000000000e+06,-1.000000000000000000e+00
4.054214477539062500e+02,1.992676849365234375e+02,2.558652114868164062e+01,2.994991760253906250e+02,8.521915972232818604e-02,8.323842000000000000e+06,-1.000000000000000000e+00
4.054214477539062500e+02,1.992676849365234375e+02,2.558652114868164062e+01,3.501465759277343750e+02,8.521915972232818604e-02,8.323842000000000000e+06,-1.000000000000000000e+00
2.121780014038085938e+01,2.847467422485351562e+00,1.994032859802246094e+00,3.526000976562500000e+02,8.514834195375442505e-02,7.537151000000000000e+06,-1.000000000000000000e+00
2.360385131835937500e+02,2.133538208007812500e+02,7.513524532318115234e+00,2.360409545898437500e+01,8.404898643493652344e-02,3.277057000000000000e+06,-1.000000000000000000e+00
2.360385131835937500e+02,2.133538208007812500e+02,7.513524532318115234e+00,2.714106445312500000e+02,8.404898643493652344e-02,3.277057000000000000e+06,-1.000000000000000000e+00
7.900444335937500000e+02,1.568672637939453125e+02,2.721245527267456055e+00,3.535223083496093750e+02,8.150739967823028564e-02,1.337011100000000000e+07,-1.000000000000000000e+00
2.334561309814453125e+02,2.146357879638671875e+02,4.512435913085937500e+00,2.781359863281250000e+01,7.992313802242279053e-02,1.651532800000000000e+07,-1.000000000000000000e+00
2.334561309814453125e+02,2.146357879638671875e+02,4.512435913085937500e+00,2.799895019531250000e+02,7.992313802242279053e-02,1.651532800000000000e+07,-1.000000000000000000e+00
7.525996093750000000e+02,2.067633819580078125e+02,3.050931358337402344e+01,3.088667297363281250e+02,7.769750058650970459e-02,4.325635000000000000e+06,-1.000000000000000000e+00
3.155814409255981445e+00,2.782896614074707031e+01,1.912135720252990723e+00,1.986237792968750000e+02,7.477302849292755127e-02,4.522495000000000000e+06,-1.000000000000000000e+00
2.263106384277343750e+02,1.558072967529296875e+02,2.101794719696044922e+00,1.798830566406250000e+02,7.421701401472091675e-02,1.140377500000000000e+07,-1.000000000000000000e+00
2.263106384277343750e+02,1.558072967529296875e+02,2.101794719696044922e+00,3.530791625976562500e+02,7.421701401472091675e-02,1.140377500000000000e+07,-1.000000000000000000e+00
4.212041625976562500e+02,2.172985839843750000e+02,8.152397155761718750e+00,2.867557067871093750e+02,7.334941625595092773e-02,9.175297000000000000e+06,-1.000000000000000000e+00
2.563882141113281250e+02,1.086521053314208984e+01,1.941733717918395996e+00,1.539306640625000000e+01,7.269014418125152588e-02,5.636607000000000000e+06,-1.000000000000000000e+00
5.725376586914062500e+02,1.795086212158203125e+02,2.214327049255371094e+01,2.493237915039062500e+02,7.263460755348205566e-02,1.454950600000000000e+07,-1.000000000000000000e+00
5.725376586914062500e+02,1.795086212158203125e+02,2.214327049255371094e+01,3.549809570312500000e+02,7.263460755348205566e-02,1.454950600000000000e+07,-1.000000000000000000e+00
2.958949584960937500e+02,7.206636047363281250e+01,4.103831100463867188e+01,3.503626098632812500e+02,7.240168005228042603e-02,9.044483000000000000e+06,-1.000000000000000000e+00
3.923696899414062500e+02,2.134147491455078125e+02,3.398825168609619141e+00,2.376573181152343750e+02,7.159877568483352661e-02,1.271500700000000000e+07,-1.000000000000000000e+00
7.908303222656250000e+02,1.786198883056640625e+02,3.302070379257202148e+00,2.540960693359375000e+01,7.108858227729797363e-02,1.061785500000000000e+07,-1.000000000000000000e+00
7.908303222656250000e+02,1.786198883056640625e+02,3.302070379257202148e+00,5.871279907226562500e+01,7.108858227729797363e-02,1.061785500000000000e+07,-1.000000000000000000e+00
2.255749816894531250e+02,1.517329406738281250e+02,1.894908308982849121e+00,1.436769866943359375e+02,7.103464007377624512e-02,3.867135000000000000e+06,-1.000000000000000000e+00
2.255749816894531250e+02,1.517329406738281250e+02,1.894908308982849121e+00,3.438223876953125000e+02,7.103464007377624512e-02,3.867135000000000000e+06,-1.000000000000000000e+00
3.924543762207031250e+02,2.129728088378906250e+02,3.721939563751220703e+00,2.464019775390625000e+02,7.099673897027969360e-02,2.556160000000000000e+06,-1.000000000000000000e+00
3.924543762207031250e+02,2.129728088378906250e+02,3.721939563751220703e+00,3.430276794433593750e+02,7.099673897027969360e-02,2.556160000000000000e+06,-1.000000000000000000e+00
2.824902648925781250e+02,2.097208404541015625e+02,1.105271816253662109e+01,1.849693908691406250e+02,7.007298618555068970e-02,1.448396900000000000e+07,-1.000000000000000000e+00
2.824902648925781250e+02,2.097208404541015625e+02,1.105271816253662109e+01,2.678473815917968750e+02,7.007298618555068970e-02,1.448396900000000000e+07,-1.000000000000000000e+00
1.417501068115234375e+02,2.819438362121582031e+01,2.047919988632202148e+00,1.604825592041015625e+02,6.897539645433425903e-02,9.503231000000000000e+06,-1.000000000000000000e+00
